1	QRL?
2	CQ POTA DE DS1UFX DS1UFX K
3	CQ SOTA DE DS1UFX DS1UFX K
4	BK TU ES 73 DE DS1UFX E E
5	GL E E
6	QRZ DE DS1UFX DS1UFX K
