1,"FT8 160m-KR",1810000,3,0
2,"FT8 160m",1840000,3,0
3,"FT8 80m-JP",3531000,3,0
4,"FT8 80m",3573000,3,0
5,"FT8 60m",5357000,3,0
6,"FT8 40m-JP",7041000,3,0
7,"FT8 40m",7074000,3,0
8,"FT8 30m",10136000,3,0
9,"FT8 20m",14074000,3,0
10,"FT8 17m",18100000,3,0
11,"FT8 15m",21074000,3,0
12,"FT8 12m",24915000,3,0
13,"FT8 10m",28074000,3,0
14,"FT8 6m",50313000,3,0
15,"FT8 4m",70100000,3,0
16,"FT4 80m-JP",3528000,3,1
17,"FT4 80m",3575000,3,1
18,"FT4 40m-JP",7038000,3,1
19,"FT4 40m",7047500,3,1
20,"FT4 30m",10140000,3,1
21,"FT4 20m",14080000,3,1
22,"FT4 17m",18104000,3,1
23,"FT4 15m",21140000,3,1
24,"FT4 12m",24919000,3,1
25,"FT4 10m",28180000,3,1
26,"FT4 6m",50318000,3,1
